artist,track,decision
A$AP Rocky,Excuse Me,remove
Kanye West,"Father Stretch My Hands, Pt. 1",maybe
Yeat,Monëy So Big,keep
Kali Uchis,Dead to Me,remove
Kanye West,Waves,keep
DJ Khaled,Just Us (feat. SZA),remove
Kendrick Lamar,United in Grief,remove
Denzel Curry,Walkin,maybe
Oliver Tree,Again & Again,remove
Oliver Tree,1993 (feat. Little Ricky ZR3),keep
Travis Scott,MODERN JAM (feat. Teezo Touchdown),keep
Kanye West,Pt. 2,keep
Oliver Tree,Hurt,maybe
Kanye West,Believe What I Say,keep
Kanye West,Ultralight Beam,keep
"Tyler, The Creator",HOT WIND BLOWS (feat. Lil Wayne),keep
Childish Gambino,Got To Be,keep
Kanye West,Low Lights,remove
Kanye West,Ok Ok,keep
Kendrick Lamar,Rich (Interlude),remove
Mac Miller,Blue World,keep
Ice Spice,Munch (Feelin’ U),keep
Kanye West,Heaven and Hell,maybe
Playboi Carti,New Choppa,keep
XXXTENTACION,Floor 555,keep
Drake,6 Man,keep
Kanye West,24,remove
Kanye West,Off the Grid,keep
Kanye West,Praise God,keep
Kendrick Lamar,DNA.,keep
XXXTENTACION,YuNg BrAtZ,keep
21 Savage,a lot,keep
Aminé,Caroline,keep
Baby Keem,MOSHPIT,keep
Drake,Jimmy Cooks (feat. 21 Savage),keep
Kanye West,Freestyle 4,keep
Kanye West,God Breathed,keep
Kanye West,Remote Control,keep
Lil Peep,Beamer Boy,keep
Lil Peep,Cobain,keep
Metro Boomin,Around Me (feat. Don Toliver),keep
Trippie Redd,The Grinch,keep
$uicideboy$,ANTARCTICA,keep
$uicideboy$,KILL YOURSELF (Part III),keep
21 Savage,can't leave without it,keep
21 Savage,gun smoke,keep
Baby Keem,scapegoats,keep
Bones,CtrlAltDelete,keep
Don Toliver,After Party,keep
Drake,One Dance,keep
Drake,Pussy & Millions (feat. Travis Scott),keep
Ice Cube,You Know How We Do It,keep
Ice Spice,No Clarity,keep
Kali Uchis,telepatía,keep
Kanye West,Jail,keep
Kanye West,Keep My Spirit Alive,keep
Kanye West,Tell the Vision,keep
Kayzo,WASTED SPACE,keep
Kxllswxtch,LIGHTS OUT,keep
Larry June,Smoothies In 1991,keep
Lil Peep,Save That Shit,keep
Lil Peep,walk away as the door slams - acoustic,keep
Lil Uzi Vert,XO TOUR Llif3,keep
Lil Yachty,Minnesota,keep
Metro Boomin,Feel the Fiyaaaah (with A$AP Rocky & feat. Takeoff),keep
Oliver Tree,Bury Me Alive,keep
Pitbull,Hotel Room Service,keep
Playboi Carti,Go2DaMoon (feat. Kanye West),keep
Playboi Carti,Location,remove
Playboi Carti,Magnolia,keep
Playboi Carti,Shoota (feat. Lil Uzi Vert),keep
Playboi Carti,wokeuplikethis*,keep
Post Malone,White Iverson,keep
Shoreline Mafia,Nun Major,keep
Summrs,Addy Geek,keep
Travis Scott,SICKO MODE,keep
"Tyler, The Creator",SIR BAUDELAIRE (feat. DJ Drama),keep
Yameii Online,"Cyber Baby Angel, Pt. 1",keep
Young Thug,Best Friend,keep
Young Thug,Digits,keep
21 Savage,ball w/o you,keep
21 Savage,Bank Account,keep
A$AP Rocky,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",maybe
Aminé,DR. WHOEVER,remove
Baby Keem,booman,keep
Baby Keem,first order of business,keep
Baby Keem,gorgeous,keep
Baby Keem,issues,keep
Baby Keem,scars,keep
Baby Keem,south africa,keep
Baby Keem,The Hillbillies,keep
Bad Bunny,Tití Me Preguntó,keep
Ben Reilly,Maytag (Tax Free),keep
Big Sean,I Don't Fuck with You,maybe
Bladee,Be Nice 2 Me,keep
Bones,WhereTheTreesMeetTheFreeway,keep
Breathe Carolina,My Obsession,maybe
BROCKHAMPTON,BLEACH,keep
Cardi B,WAP (feat. Megan Thee Stallion),keep
Central Cee,Terminal 5,maybe
Childish Gambino,This Is America,keep
Denzel Curry,Sanjuro,maybe
Don Toliver,TORE UP,keep
Drake,Big Rings,keep
Drake,Controlla,keep
Drake,Energy,keep
Drake,First Person Shooter (feat. J. Cole),keep
Drake,Wants and Needs (feat. Lil Baby),keep
Duke Deuce,FELL UP IN THE CLUB,keep
Duke Deuce,GANGSTA PARTY,keep
EsDeeKid,4 Raws,keep
Flo Milli,Beef FloMix,keep
Ghostemane,Mercury: Retrograde,keep
grandson,Blood // Water,keep
Halsey,Bad at Love,keep
Ice Spice,Gangsta Boo (with Lil Tjay),keep
Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)",keep
JID,Off Deez (with J. Cole),keep
JID,Raydar,keep
JID,Surround Sound (feat. 21 Savage & Baby Tate),keep
Joji,NIGHT RIDER,keep
JPEGMAFIA,1539 N. Calvert,keep
JPEGMAFIA,BALD! REMIX,keep
Kali Uchis,In My Dreams,keep
Kali Uchis,Tomorrow,maybe
Kanye West,Come to Life,remove
Kanye West,Jesus Lord Pt 2,keep
Kanye West,Junya Pt 2,keep
Kanye West,Lord I Need You,maybe
Kanye West,New Again,keep
Kanye West,No Child Left Behind,remove
Kanye West,Ok Ok Pt 2,keep
Kanye West,Pure Souls,remove
Kendrick Lamar,Auntie Diaries,remove
Lil Baby,Yes Indeed,keep
Lil Peep,white tee,keep
Lil Peep,witchblades,keep
Lil Yachty,Split/Whole Time,keep
Masked Wolf,Astronaut in the Ocean,remove
Metro Boomin,Overdue (with Travis Scott),keep
Migos,Walk It Talk It,keep
Offset,Ric Flair Drip (with Metro Boomin),keep
Playboi Carti,Lookin,keep
Playboi Carti,Old Money,keep
Playboi Carti,Stop Breathing,keep
Pop Smoke,Dior,keep
Pop Smoke,Invincible,keep
Pouya,Void,keep
Rihanna,Sex With Me,keep
SahBabii,Marsupial Superstars (feat. T3),keep
The Scotts,THE SCOTTS,keep
Tainy,mañana,keep
Taylor Swift,I Did Something Bad,remove
Travis Scott,CAN'T SAY,keep
Travis Scott,Escape Plan,remove
Travis Scott,FE!N (feat. Playboi Carti),keep
Travis Scott,HIGHEST IN THE ROOM,keep
"Tyler, The Creator",LEMONHEAD (feat. 42 Dugg),keep
"Tyler, The Creator",RUNITUP (feat. Teezo Touchdown),keep
"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),keep
Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),keep
The Weeknd,Heartless,keep
Xavier Wulf,Psycho Pass,keep
Xavier Wulf,Thunder Man,keep
Kendrick Lamar,PRIDE.,remove
Tame Impala,Dracula,keep
MGMT,Little Dark Age,keep
Tame Impala,End of Summer,keep
Tame Impala,Loser,keep
Tame Impala,No Reply,keep
SZA,30 For 30 (with Kendrick Lamar),keep
Gorillaz,Clint Eastwood,maybe
Tame Impala,My Old Ways,keep
Kanye West,Send It Up,keep
Yebba,Far Away (feat. A$AP Rocky),maybe
juju<3,Wasted Summers (Sped Up),remove
Kanye West,On Sight,keep
KIDS SEE GHOSTS,Reborn,keep
Magdalena Bay,Watching T.V.,keep
The Chemical Brothers,Setting Sun,keep
Childish Gambino,IV. Sweatpants,keep
Frou Frou,A New Kind Of Love - Demo,remove
Gorillaz,November Has Come,keep
Gorillaz,O Green World,keep
Three 6 Mafia,Stay Fly,keep
$uicideboy$,PARIS,keep
Gorillaz,Don't Get Lost in Heaven,remove
Gorillaz,El Mañana,remove
