Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3YFnfm9z8RmPFIZ7C16u4e,"Doja","Ethereal","$NOT;A$AP Rocky",2022-02-11,171453,53,true,1261674818,2026-05-29T12:16:57Z,"rap","300 Entertainment",0.753,0.777,11,-5.701,0,0.32,0.0725,0.000714,0.125,0.669,157.148,4
spotify:track:6ygSlFgsuHPLENIKP860Hg,"I'm Supposed To Die Tonight","The Massacre","50 Cent",2005-03-03,231026,65,true,1261674818,2026-05-29T12:16:57Z,"old school hip hop,east coast hip hop","Aftermath/Shady",0.676,0.72,7,-3.929,1,0.31,0.00307,0.000272,0.0853,0.322,78.9,4
spotify:track:3oHkMCVJyOcjg5FhfLc2Rq,"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)","TESTING","A$AP Rocky;Moby;T.I.;Kid Cudi",2018-05-25,315768,61,true,1261674818,2026-05-29T12:16:57Z,"rap,downtempo,trip hop,southern hip hop","A$AP Worldwide/Polo Grounds Music/RCA Records",0.428,0.754,5,-6.416,0,0.179,0.3,0,0.136,0.394,125.948,4
spotify:track:2rzBvHM9h36Tpdj7Jdajka,"Wild for the Night (feat. Skrillex & Birdy Nam Nam)","LONG.LIVE.A$AP (Deluxe Version)","A$AP Rocky;Skrillex;Birdy Nam Nam;Lord Flacko",2013,212640,66,true,1261674818,2026-05-29T12:16:57Z,"rap,dubstep,edm,electro,electronic,french house","A$AP Worldwide/Polo Grounds Music/RCA Records",0.757,0.848,2,-4.234,1,0.335,0.0481,0,0.121,0.686,139.995,4
spotify:track:6o0uKiwX3UoaiysNdE08Xc,"ANGEL'S HEAVEN","ANGEL'S HEAVEN","Ann",2025-10-09,118204,10,false,1261674818,2026-05-29T12:16:57Z,"","annhf",0.472,0.732,7,-9.581,0,0.0427,0.000525,0.843,0.7,0.518,129.977,4
spotify:track:58CMA5tAWWjc1Cs5nvWeqV,"Sirens","I-Empire","Angels & Airwaves",2007-01-01,259413,52,false,1261674818,2026-05-29T12:16:57Z,"pop punk","Geffen",0.524,0.924,2,-4.422,1,0.0513,0.00407,0.00000531,0.104,0.824,154.137,4
spotify:track:37HVfljrj62Ym41OVjtCRy,"Hiei","Urameshi","Anonymuz",2017-08-08,197160,23,true,1261674818,2026-05-29T12:16:57Z,"","Anonymuz / CC",0.784,0.652,2,-7.266,1,0.177,0.352,0,0.237,0.387,115.041,4
spotify:track:44qLO2EgCUwSZxL1umUuao,"Stonefruit","Haram","Armand Hammer;The Alchemist",2021-03-26,257027,37,false,1261674818,2026-05-29T12:16:57Z,"experimental hip hop,alternative hip hop,jazz rap,boom bap","Backwoodz Studioz",0.424,0.56,8,-8.472,1,0.123,0.0784,0,0.348,0.262,122.178,4
spotify:track:5e2NfvUDhNqsu0JqIw1pj7,"Strife (Chug Chug)","Allegiance","As Blood Runs Black",2006-06-05,226413,39,true,1261674818,2026-05-29T12:16:57Z,"deathcore,metalcore,death metal,metal","Mediaskare Records",0.317,0.965,0,-1.235,1,0.206,0.000114,0.342,0.121,0.272,151.117,4
spotify:track:4mJLIuwbDZ31r6ptHOXmMm,"Forsaken","An Ocean Between Us","As I Lay Dying",2007-08-21,318026,47,false,1261674818,2026-05-29T12:16:57Z,"metalcore,metal,deathcore","Metal Blade Records",0.471,0.994,2,-3.379,0,0.131,0.000167,0.000444,0.315,0.0662,120.012,4
spotify:track:0BPLYT25SArsp2bswOHKjo,"Arya","Arya","Nigo;A$AP Rocky",2022-01-28,162253,54,true,1261674818,2026-05-29T12:16:57Z,"rap","Victor Victor Worldwide",0.958,0.478,7,-7.669,1,0.192,0.0823,0,0.126,0.379,120.042,4
