Artist,Track
$NOT,Doja
50 Cent,I'm Supposed to Die Tonight
A$AP Rocky,A$AP Forever (REMIX)
A$AP Rocky,M'$
A$AP Rocky,Wild For The Night
Angels,Heaven
Angels,Sirens
Anonymuz,Hiei
Armand Hammer,Stonefruit
As Blood Runs Black,Strife (Chug Chug)
As I Lay Dying,Forsaken
A$AP Rocky,Arya
AWOLNATION,KOOKSEVERYWHERE!!!
AWOLNATION,Sound Witness System
Baby Keem,Baby Keem
Baby Keem,Gang Activities
Baby Keem,killstreaks
Baby Keem,MOSHPIT
Bassti,not even the friendzone
Beach Fossils,Sugar
Belle Haven,The Carving Knife
Ben Reilly,Maytag (Tax Free)
Big Pun,Twinz
boygenius,$20
boygenius,Satanist
BROCKHAMPTON,SEX
Broken Bells,Control
Broken Bells,Medicine
Buddha Trixie,Telekinesis
Bun B,Concrete
Buzy,Be Somewhere
Cage the Elephant,Sabertooth Tiger
Cage the Elephant,Trouble
Calvin Harris,Slide
Clairo,Sofia
Clipse,EBITDA
Dance Gavin Dance,Evaporate
Dance Gavin Dance,Exposed
Darkside,Heart
Deftones,Sextape
Dehd,Disappear
Dehd,Loner
DOMi,NOT TiGHT
DOMi,PiLOT
DreamSoda,CHIHIRO
Dry the River,New Cross
Efelante,Luna
Emarosa,Sure
ERRA,Luminesce
Everything Everything,Planets
Felixx,Kids
Fievel Is Glauque,Decoy
Frank Ocean,Nikes
Freddie Dredd,DITTY
Freddie Dredd,In My Blood
Frederic,Oddloop
Future Islands,Seasons (Waiting on You)
Ghivio,Bouquet Boi
Gorillaz,19-2000
Gorillaz,Aries
Gorillaz,MLS
Gorillaz,Opium
Gorillaz,Simplicity
Gorillaz,Stylo
Gorillaz,Sweepstakes
HAARPER,Anemic
HAARPER,Baki
Halsey,Ego
Hayley Williams,Simmer
Helia,Metempsychosis
Her's,Cool with You
Hippo Campus,South
Ice Spice,Munch (Feelin' U)
ichika Nito,ice
ichika Nito,Orb
ichika Nito,Picturesque
Jay Electronica,Exhibit C
JAY-Z,Kill Jay Z
JAY-Z,Legacy
JAY-Z,Primetime
Juicy J,Let Me See
Kanye West,All Mine
Kanye West,Gone
Kanye West,Intro
Kanye West,Monster
Kanye West,Pt. 2
Kendrick Lamar,Alien Girl
Kendrick Lamar,Rigamortus
Kendrick Lamar,u
Kid Cudi,Alive (Nightmare)
Kid Cudi,Elsie's Baby Boy (flashback)
Kid Cudi,Lovin' Me
Kid Cudi,Sept. 16
King Gizzard and the Lizard Wizard,This Thing
Kings of Leon,A Wave
Kings of Leon,Echoing
Kings of Leon,Notion
Lady Gaga,Applause
Lewis Del Mar,Such Small Scenes
Lil Yachty,failure
LXST CXNTURY,Andromeda
LXST CXNTURY,ODIUM
LXST CXNTURY,VISION
Mac Miller,ROS
Mac Miller,Yeah
Migos,Straightenin
Mike,Hunger
Milo,Sorcerer
MIMIDEATH,if god didnt want us to snort worms
MyGrain,Veil Of Sun
Nappy Roots,Me
OutKast,B.O.B.
Piri,on & on
Pouya,Aftershock
Saba,LOGOUT
She Past Away,Ruh
Shifty,OPTIONS
Skrillex,ANDY
Speech Patterns,Numb
Taiwere,FanTaise$
Tame Impala,Afterthought
Tame Impala,Gossip
Tame Impala,I Don't Really Mind
Tame Impala,Island Walking
Tame Impala,Led Zeppelin
Tame Impala,List of People (to Try and Forget About)
Tame Impala,Nothing That Has Happened So Far Has Been Anything We Could Control
Tatsuro Yamashita,Fragile
Thao,Astonished Man
The Marías,ABQ
The Marías,Calling U Back
The Smashing Pumpkins,1979
Tilian,Dose
TOKYOPILL,Ethereal
Twista,Sunshine
Tyler the Creator,RUNITUP
Unknown Mortal Orchestra,Stage or Screen
Vince Staples,Señorita
Vince Staples,Summertime
We Came as Romans,Dreams
XXXTENTACION,Yung Bratz
Young Thug,Old English
YUI,LIFE
Yung Dori,Agora
