artist,track,mood_tags
Yeah Yeah Yeahs,Heads Will Roll,Dance
Matoma,Old Thing Back (feat. Ja Rule and Ralph Tresvant),Dance
Justice,One Night/All Night,Dance
Martin Solveig,Hello,Dance
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,Dance
Metric,Help I'm Alive,Dance
Metric,Breathing Underwater,Dance
Le Tigre,Deceptacon,Dance
MUZZ,...Ready For It?,Dance
Eminem,Shake That,Dance
Wiz Khalifa,The Thrill (feat. Empire Of The Sun),"Dance,Happy,Sunny"
Empire Of The Sun,High And Low,"Dance,Happy,Sunny"
Empire Of The Sun,Walking On A Dream,Dance
Calvin Harris,Slide (feat. Frank Ocean & Migos),Dance
Drake,Massive,"Dance,Dark,Moody"
La Roux,Bulletproof,Dance
La Roux,In For The Kill,Dance
Maduk,Ghost Assassin - Original Mix,Dance
M.I.A.,Paper Planes,Dance
Icona Pop,Then We Kiss,"Dance,Happy,Sunny"
The Chemical Brothers,Setting Sun,"Dance,Heavy Bass,Hype"
Troye Sivan,Got Me Started,Dance
Tame Impala,Mind Mischief - Live,Dance
Basement Jaxx,Where's Your Head At,Dance
Juicy J,Neighbor (feat. Travis Scott),Dance
David Guetta,Titanium (feat. Sia),Dance
Eric Prydz,Call on Me - Radio Mix,Dance
Metric,Monster Hospital,Dance
Anderson .Paak,Come Down,Dance
Chrystal,The Days - NOTION Remix,"Dance,Dark,Moody"
Machine Girl,Ghost,"Dance,Heavy Bass,Hype"
Childish Gambino,Got To Be,Dance
Fred again..,leavemealone,"Dance,Dark,Moody"
Magdalena Bay,Image,Dance
Oliver Tree,Miss You - Bonus Track,Dance
Fox Stevenson,All Eyes On Me,"Dance,Happy,Sunny"
Tegan and Sara,Closer,"Dance,Happy,Sunny"
Nicki Minaj,Starships,"Dance,Happy,Sunny"
Charli xcx,party 4 u,"Dance,Happy,Sunny"
Fred again..,Victory Lap,Dance
Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Dance,Happy,Sunny"
BIA,WE ON GO,"Dance,Heavy Bass,Hype"
Gucci Mane,15th and the 1st (feat. YG Hootie),Dance
HAVEN.,I Run,Dance
F.L.Y. (Fast Life Yungstaz),Swag Surfin',Dance
N.E.R.D,Everyone Nose (All The Girls Standing In The Line For The Bathroom) - Album Version (Edited),Dance
Disco Lines,No Broke Boys,Dance
Katy Perry,Peacock,Dance
Kesha,Sleazy,Dance
Confidence Man,Holiday,Dance
Disclosure,My High,"Dance,Heavy Bass,Hype"
Zedd,Stay The Night - Featuring Hayley Williams Of Paramore,Dance
Icona Pop,Dance To This,Dance
The Chainsmokers,Something Just Like This,Dance
BEAUMONT,Conceited - What The Fuck,Dance
Kendrick Lamar,King Kunta,"Heavy Bass,Hype"
Turnstile,BLACKOUT,"Heavy Bass,Hype"
XXXTENTACION,One Minute (feat. Kanye West & Travis Barker),"Heavy Bass,Hype"
Linkin Park,Fighting Myself,"Heavy Bass,Hype"
Swedish House Mafia,Moth To A Flame (with The Weeknd),"Heavy Bass,Hype"
Kasabian,Club Foot,"Heavy Bass,Hype"
DJ Snake,Something Wrong (with Don Toliver),"Heavy Bass,Hype"
Chase & Status,"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)","Heavy Bass,Hype"
Yeah Yeah Yeahs,Heads Will Roll - A-Trak Remix,"Heavy Bass,Hype"
$uicideboy$,Us Vs. Them,"Heavy Bass,Hype"
Freddie Dredd,In My Blood,"Dance,Heavy Bass"
Death Grips,Get Got,"Heavy Bass,Hype"
JPEGMAFIA,Kingdom Hearts Key (ft. redveil),"Heavy Bass,Hype"
Bring Me The Horizon,Death Breath,"Heavy Bass,Hype"
femtanyl,M3 N MIN3,"Dark,Heavy Bass,Hype,Moody"
Ho99o9,Street Power,"Heavy Bass,Hype"
Denzel Curry,SUMO | ZUMO,"Heavy Bass,Hype"
Dance Gavin Dance,Death of a Strawberry,"Heavy Bass,Hype"
Kansh,Don't Blame Me,"Heavy Bass,Hype"
Kendrick Lamar,tv off (feat. lefty gunplay),"Heavy Bass,Hype"
Kings of Leon,Four Kicks,"Heavy Bass,Hype"
Yeah Yeah Yeahs,Heads Will Roll - A-Trak Remix Radio Edit,"Heavy Bass,Hype"
The Chemical Brothers,Setting Sun - Radio Edit,"Heavy Bass,Hype"
Baby Keem,family ties (with Kendrick Lamar),"Heavy Bass,Hype"
Injury Reserve,Jailbreak the Tesla (Feat. Aminé),"Heavy Bass,Hype"
The Prodigy,Breathe,"Heavy Bass,Hype"
Vince Staples,Yeah Right,"Heavy Bass,Hype"
Justice,Genesis,"Heavy Bass,Hype"
Pendulum,Slam,"Heavy Bass,Hype"
Massive Attack,Angel,"Heavy Bass,Hype"
TNGHT,Higher Ground,"Heavy Bass,Hype"
Gesaffelstein,Pursuit,"Heavy Bass,Hype"
KAYTRANADA,10% (feat. Kali Uchis),"Happy,Heavy Bass,Hype,Sunny"
KAYTRANADA,GLOWED UP,"Heavy Bass,Hype"
Nappy Roots,Ballin' on a Budget - Tight Vocal up Version,"Heavy Bass,Hype"
Gucci Mane,Swing My Door,"Heavy Bass,Hype"
DJ ReDo,"Beamer, Benz, or Bentley - Lloyd Banks feat. Juelz Santana (Beamer Benz or Bently)(Instrumental)","Heavy Bass,Hype"
Chris Brown,Look At Me Now (feat. Lil' Wayne & Busta Rhymes),"Heavy Bass,Hype"
Dead Prez,Hip-Hop,"Heavy Bass,Hype"
Jeezy,Put On,"Heavy Bass,Hype"
JID,Dance Now (feat. Kenny Mason),"Heavy Bass,Hype"
Slowboy,ASTRO - Slowed Opium Remix,"Heavy Bass,Hype"
Lil Baby,Let's Do It (feat. Playboi Carti & Skooly),"Heavy Bass,Hype"
21st Century,Remember The Rain,Heartbreak
Keith Whitley,I'm Over You,Heartbreak
The Walters,I Love You So,Heartbreak
Jimmy Cliff,Wild World,Heartbreak
Darondo,Didn't I,Heartbreak
Kid Rock,Picture (feat. Sheryl Crow),Heartbreak
Conner O'Kane,Fragile,Heartbreak
The 1975,Somebody Else,Heartbreak
The Drums,Days,Heartbreak
Hayley Williams,Parachute,Heartbreak
"Tyler, The Creator","GONE, GONE / THANK YOU",Heartbreak
Etta James,I'd Rather Go Blind,Heartbreak
Tame Impala,List Of People (To Try And Forget About),"Dark,Heartbreak,Moody,Sad"
Durand Jones & The Indications,Too Many Tears,Heartbreak
Perfume Genius,Hood,"Heartbreak,Sad"
Mitski,First Love/Late Spring,"Heartbreak,Sad"
Mitski,Francis Forever,Heartbreak
Snail Mail,Pristine,"Heartbreak,Sad"
Mac Miller,Objects in the Mirror,"Heartbreak,Sad"
BADBADNOTGOOD,Time Moves Slow,Heartbreak
Eminem,Love Game,Heartbreak
Kendrick Lamar,Alien Girl (Today W/ Her),"Dark,Moody"
Drake,Texts Go Green,"Dark,Moody"
Drake,Passionfruit,"Dark,Moody"
A$AP Rocky,LVL,"Dark,Moody"
Kanye West,Hold My Liquor,"Dark,Moody"
Mr.Kitty,After Dark,"Dark,Moody"
Lorde,Ribs,"Dark,Moody"
Joji,YEAH RIGHT,"Dark,Moody"
Danny Brown,Grown Up,"Dark,Moody"
Kendrick Lamar,PRIDE.,"Dark,Moody"
Kendrick Lamar,GOD.,"Dark,Moody"
deadmau5,I Remember - Vocal Mix,"Dark,Moody"
Outkast,Da Art of Storytellin' (Pt. 1),"Dark,Moody"
